SeqID;Taxon;Aggr.;Genus;Family;Plant height (m);Tree;Shrub;Tumbleweed;Seed mass (mg);Dusty seeds and spores;Habitat preferences of anemochorous species (other than trees);Origin outside Europe;Weed;Crop, seed mixture, ornamental;Efficient dispersal mode - common;Dispersal distance class (1-6);Efficient dispersal mode - anthropogenic;Dispersal distance class (7)
1;Abies alba;;Abies;Pinaceae;38;1;;;72,9;;;;;;Anemochory;4;Anthropochory;7
2;Abies balsamea;;Abies;Pinaceae;29;1;;;7,6;;;neo;;;Anemochory;4;Anthropochory;7
3;Abies borisii-regis;;Abies;Pinaceae;30;1;;;56,0;;;;;;Anemochory;4;;
4;Abies cephalonica;;Abies;Pinaceae;31;1;;;71,4;;;;;;Anemochory;4;;
5;Abies cilicica;;Abies;Pinaceae;25;1;;;115,4;;;;;;Anemochory;4;;
6;Abies concolor;;Abies;Pinaceae;38;1;;;33,4;;;neo;;;Anemochory;4;Anthropochory;7
7;Abies grandis;;Abies;Pinaceae;53;1;;;20,0;;;neo;;;Anemochory;4;Anthropochory;7
8;Abies homolepis;;Abies;Pinaceae;35;1;;;15,8;;;neo;;;Anemochory;4;Anthropochory;7
9;Abies nebrodensis;;Abies;Pinaceae;9;1;;;;;;;;;Anemochory;4;;
10;Abies nordmanniana;;Abies;Pinaceae;35;1;;;72,6;;;;;;Anemochory;4;Anthropochory;7
11;Abies pinsapo;;Abies;Pinaceae;25;1;;;55,5;;;;;;Anemochory;4;;
12;Abies procera;;Abies;Pinaceae;70;1;;;33,5;;;neo;;;Anemochory;4;Anthropochory;7
13;Abies sibirica;;Abies;Pinaceae;18;1;;;10,0;;;;;;Anemochory;4;;
14;Abutilon theophrasti;;Abutilon;Malvaceae;1,2;;;;9,8;;;;1;;Local non-specific dispersal;2;Anthropochory;7
15;Acacia cyclops;;Acacia;Fabaceae;3,7;;1;;26,7;;;;;;Myrmecochory;3;;
16;Acacia dealbata;;Acacia;Fabaceae;16;1;;;12,5;;;neo;;;Myrmecochory;3;Anthropochory;7
17;Acacia karroo;;Acacia;Fabaceae;2,5;1;1;;19,2;;;neo;;;Myrmecochory;3;Anthropochory;7
18;Acacia mearnsii;;Acacia;Fabaceae;9;1;;;13,5;;;neo;;;Myrmecochory;3;Anthropochory;7
19;Acacia melanoxylon;;Acacia;Fabaceae;19;1;;;13,2;;;neo;;;Myrmecochory;3;Anthropochory;7
20;Acacia retinodes;;Acacia;Fabaceae;4,9;1;1;;15,3;;;neo;;;Myrmecochory;3;Anthropochory;7
21;Acacia saligna;;Acacia;Fabaceae;4,0;1;1;;14,2;;;neo;;;Myrmecochory;3;Anthropochory;7
22;Acalypha virginica;;Acalypha;Euphorbiaceae;0,21;;;;0,6;;;neo;;;Myrmecochory;3;Anthropochory;7
23;Acantholimon ulicinum;;Acantholimon;Plumbaginaceae;<0,3;;;;;;;;;;Local non-specific dispersal;1;;
24;Acanthus dioscoridis;;Acanthus;Acanthaceae;;;;;;;;;;;Local non-specific dispersal;;;
25;Acanthus hirsutus;;Acanthus;Acanthaceae;;;;;135,2;;;;;;Local non-specific dispersal;;;
26;Acanthus hungaricus;;Acanthus;Acanthaceae;0,45;;;;;;;;;;Local non-specific dispersal;2;;
27;Acanthus mollis;;Acanthus;Acanthaceae;0,80;;;;206,8;;;;;;Local non-specific dispersal;2;;
28;Acanthus spinosus;;Acanthus;Acanthaceae;0,67;;;;;;;;;;Local non-specific dispersal;2;;
29;Acer campestre;;Acer;Sapindaceae;15;1;;;73,6;;;;;1;Anemochory;4;Anthropochory;7
30;Acer cappadocicum;Acer cappadocicum aggr.;Acer;Sapindaceae;23;1;;;84,2;;;;;;Anemochory;4;;
31;Acer cappadocicum aggr.;Acer cappadocicum aggr.;Acer;Sapindaceae;19;1;;;;;;;;;Anemochory;4;;
32;Acer divergens;;Acer;Sapindaceae;;1;;;;;;;;;Anemochory;4;;
33;Acer ginnala;;Acer;Sapindaceae;3,8;;1;;26,7;;Open_habitats;neo;;;Anemochory;4;Anthropochory;7
34;Acer granatense;Acer opalus aggr.;Acer;Sapindaceae;15;1;;;39,4;;;;;;Anemochory;4;;
35;Acer heldreichii;;Acer;Sapindaceae;15;1;;;223,0;;;;;;Anemochory;4;;
36;Acer hyrcanum;;Acer;Sapindaceae;12;1;;;51,0;;;;;;Anemochory;4;;
37;Acer lobelii;Acer cappadocicum aggr.;Acer;Sapindaceae;10;1;;;147,0;;;;;;Anemochory;4;;
38;Acer monspessulanum;;Acer;Sapindaceae;10;1;;;38,6;;;;;;Anemochory;4;;
39;Acer negundo;;Acer;Sapindaceae;15;1;;;35,3;;;neo;;;Anemochory;4;Anthropochory;7
40;Acer obtusatum;Acer opalus aggr.;Acer;Sapindaceae;9;1;;;;;;;;;Anemochory;4;;
41;Acer opalus;Acer opalus aggr.;Acer;Sapindaceae;15;1;;;97,7;;;;;;Anemochory;4;;
42;Acer opalus aggr.;Acer opalus aggr.;Acer;Sapindaceae;15;1;;;;;;;;;Anemochory;4;;
43;Acer platanoides;;Acer;Sapindaceae;24;1;;;122,6;;;;;1;Anemochory;4;Anthropochory;7
44;Acer pseudoplatanus;;Acer;Sapindaceae;30;1;;;105,9;;;;;1;Anemochory;4;Anthropochory;7
45;Acer saccharinum;;Acer;Sapindaceae;30;1;;;39,1;;;neo;;;Anemochory;4;Anthropochory;7
46;Acer sempervirens;;Acer;Sapindaceae;;1;;;26,7;;;;;;Anemochory;4;;
47;Acer tataricum;;Acer;Sapindaceae;7;1;;;27,7;;;;;;Anemochory;4;Anthropochory;7
48;Acer trautvetteri;;Acer;Sapindaceae;15;1;;;89,0;;;;;;Anemochory;4;;
49;Acis autumnalis;;Acis;Amaryllidaceae;0,15;;;;;;;;;;Local non-specific dispersal;1;;
50;Acis longifolia;;Acis;Amaryllidaceae;;;;;;;;;;;Local non-specific dispersal;;;
51;Acis rosea;;Acis;Amaryllidaceae;0,09;;;;;;;;;;Local non-specific dispersal;1;;
52;Aconitum angustifolium;;Aconitum;Ranunculaceae;1,6;;;;;;;;;;Local non-specific dispersal;2;;
53;Aconitum anthora;;Aconitum;Ranunculaceae;0,63;;;;3,1;;;;;;Local non-specific dispersal;2;;
54;Aconitum besserianum;;Aconitum;Ranunculaceae;1,3;;;;;;;;;;Local non-specific dispersal;2;;
55;Aconitum burnatii;;Aconitum;Ranunculaceae;1,1;;;;;;;;;;Local non-specific dispersal;2;;
56;Aconitum degenii;;Aconitum;Ranunculaceae;1,1;;;;;;;;;;Local non-specific dispersal;2;;
57;Aconitum firmum;;Aconitum;Ranunculaceae;1,1;;;;2,5;;;;;;Local non-specific dispersal;2;;
58;Aconitum lasiocarpum;;Aconitum;Ranunculaceae;0,65;;;;;;;;;;Local non-specific dispersal;2;;
59;Aconitum lycoctonum;;Aconitum;Ranunculaceae;1,0;;;;3,6;;;;;;Local non-specific dispersal;2;;
60;Aconitum moldavicum;;Aconitum;Ranunculaceae;0,79;;;;;;;;;;Local non-specific dispersal;2;;
61;Aconitum napellus;Aconitum napellus aggr.;Aconitum;Ranunculaceae;0,82;;;;3,4;;;;;;Local non-specific dispersal;2;;
62;Aconitum napellus aggr.;Aconitum napellus aggr.;Aconitum;Ranunculaceae;0,88;;;;;;;;;;Local non-specific dispersal;2;;
63;Aconitum nemorum;;Aconitum;Ranunculaceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
64;Aconitum orientale;;Aconitum;Ranunculaceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
65;Aconitum plicatum;Aconitum napellus aggr.;Aconitum;Ranunculaceae;0,90;;;;;;;;;;Local non-specific dispersal;2;;
66;Aconitum tauricum;Aconitum napellus aggr.;Aconitum;Ranunculaceae;0,75;;;;2,6;;;;;;Local non-specific dispersal;2;;
67;Aconitum toxicum;;Aconitum;Ranunculaceae;2,0;;;;;;;;;;Local non-specific dispersal;2;;
68;Aconitum variegatum;;Aconitum;Ranunculaceae;1,2;;;;0,9;;;;;;Local non-specific dispersal;2;;
69;Aconitum x cammarum;;Aconitum;Ranunculaceae;1,2;;;;;;;;;;Local non-specific dispersal;2;;
70;Aconogonon alpinum;;Aconogonon;Polygonaceae;0,68;;;;;;;;;1;Local non-specific dispersal;2;Anthropochory;7
71;Aconogonon weyrichii;;Aconogonon;Polygonaceae;;;;;;;Open_habitats;;;;Anemochory;5;;
72;Acorus calamus;;Acorus;Acoraceae;0,77;;;;2,6;;;neo;;;Hydrochory;;Anthropochory;7
73;Actaea europaea;;Actaea;Ranunculaceae;1,4;;;;1,0;;;;;;Myrmecochory;3;;
74;Actaea spicata;;Actaea;Ranunculaceae;0,44;;;;108,8;;;;;;Endozoochory;6;;
75;Actinidia chinensis;;Actinidia;Actinidiaceae;5;;;;1,4;;;neo;;;Local non-specific dispersal;2;Anthropochory;7
76;Adenocarpus complicatus;;Adenocarpus;Fabaceae;1,2;;1;;6,3;;;;;;Local non-specific dispersal;2;;
77;Adenocarpus decorticans;;Adenocarpus;Fabaceae;>0,3;;1;;28,3;;;;;;Local non-specific dispersal;2;;
78;Adenocarpus foliolosus;;Adenocarpus;Fabaceae;>0,3;;1;;;;;;;;Local non-specific dispersal;2;;
79;Adenocarpus hispanicus;;Adenocarpus;Fabaceae;>0,3;;1;;40,0;;;;;;Local non-specific dispersal;2;;
80;Adenocarpus telonensis;;Adenocarpus;Fabaceae;0,70;;1;;7,0;;;;;;Local non-specific dispersal;2;;
81;Adenocarpus viscosus;;Adenocarpus;Fabaceae;>0,3;;1;;;;;;;;Local non-specific dispersal;2;;
