"","species","numberOfOccurrences"
"1","Acer monspessulanum",324
"2","Achillea macrophylla",194
"3","Achillea pannonica",296
"4","Aconitum pilosiusculum",1
"5","Adenophora liliifolia",458
"6","Adonis aestivalis",3528
"7","Adonis flammea",692
"8","Adonis vernalis",889
"9","Aethionema saxatile",264
"10","Agrostemma githago",1377
"11","Agrostis vinealis",194
"12","Aira praecox",230
"13","Ajuga chamaepitys",993
"14","Alchemilla alpina",45
"15","Alchemilla colorata",94
"16","Alchemilla connivens",135
"17","Alchemilla coriacea",150
"18","Alchemilla exigua",72
"19","Alchemilla fissa",421
"20","Alchemilla flabellata",129
"21","Alchemilla glomerulans",104
"22","Alchemilla grossidens",5
"23","Alchemilla hirtipes",13
"24","Alchemilla impexa",133
"25","Alchemilla incisa",221
"26","Alchemilla kerneri",2
"27","Alchemilla lineata",294
"28","Alchemilla lunaria",46
"29","Alchemilla nitida",228
"30","Alchemilla obtusa",46
"31","Alchemilla othmarii",162
"32","Alchemilla plicata",130
"33","Alchemilla rubristipula",25
"34","Alchemilla sericoneura",43
"35","Alchemilla subglobosa",220
"36","Alchemilla tenuis",30
"37","Alchemilla tirolensis",49
"38","Alchemilla undulata",194
"39","Alchemilla versipila",41
"40","Aldrovanda vesiculosa",7
"41","Alisma gramineum",348
"42","Alisma lanceolatum",1170
"43","Allium angulosum",1399
"44","Allium suaveolens",2420
"45","Althaea hirsuta",259
"46","Anacamptis pyramidalis",1313
"47","Anarrhinum bellidifolium",11
"48","Anchusa officinalis",2252
"49","Andromeda polifolia",4976
"50","Androsace elongata",74
"51","Androsace hausmannii",26
"52","Androsace obtusifolia",33
"53","Anemone sylvestris",4646
"54","Antennaria carpatica",127
"55","Antennaria dioica",6238
"56","Anthemis cotula",1114
"57","Anthericum liliago",1537
"58","Anthriscus caucalis",376
"59","Aphanes australis",212
"60","Apium graveolens",90
"61","Aquilegia einseleana",95
"62","Arabis auriculata",250
"63","Arabis caerulea",111
"64","Arabis sagittata",140
"65","Arctostaphylos uva-ursi",298
"66","Arenaria leptoclados",136
"67","Aristolochia clematitis",1338
"68","Arnica montana",11703
"69","Arnoseris minima",940
"70","Artemisia scoparia",59
"71","Artemisia umbelliformis",1
"72","Asperugo procumbens",565
"73","Asperula arvensis",323
"74","Asperula tinctoria",1634
"75","Asplenium adiantum-nigrum",289
"76","Asplenium cuneifolium",169
"77","Asplenium fissum",68
"78","Asplenium fontanum",4
"79","Asplenium murbeckii",3
"80","Asplenium scolopendrium",1879
"81","Aster amellus",4667
"82","Aster linosyris",4
"83","Astragalus alpinus",176
"84","Astragalus australis",92
"85","Astragalus cicer",2411
"86","Astragalus danicus",126
"87","Astragalus frigidus",260
"88","Astragalus penduliflorus",55
"89","Astrantia bavarica",284
"90","Aurinia saxatilis",884
"91","Barbarea stricta",1141
"92","Betonica alopecuros",615
"93","Betula humilis",790
"94","Betula nana",209
"95","Bidens radiata",289
"96","Blysmus compressus",2003
"97","Bothriochloa ischaemum",664
"98","Botrychium lunaria",2237
"99","Botrychium matricariifolium",239
"100","Brassica nigra",778
"101","Bromus grossus",214
"102","Bromus racemosus",766
"103","Bryonia alba",563
"104","Bupleurum longifolium",855
"105","Bupleurum ranunculoides",100
"106","Bupleurum rotundifolium",563
"107","Butomus umbellatus",2295
"108","Calamagrostis pseudophragmites",765
"109","Calamagrostis stricta",83
"110","Caldesia parnassifolia",18
"111","Calendula arvensis",109
"112","Calla palustris",1729
"113","Callitriche cophocarpa",653
"114","Callitriche hamulata",1280
"115","Callitriche hermaphroditica",1
"116","Callitriche palustris",765
"117","Camelina alyssum",488
"118","Campanula alpina",204
"119","Campanula cervicaria",530
"120","Campanula gentilis",11
"121","Campanula latifolia",478
"122","Cardamine dentata",162
"123","Cardamine parviflora",19
"124","Cardamine resedifolia",87
"125","Cardamine udicola",12
"126","Carex appropinquata",2661
"127","Carex baldensis",108
"128","Carex bohemica",722
"129","Carex buxbaumii",538
"130","Carex capitata",84
"131","Carex cespitosa",902
"132","Carex chordorrhiza",794
"133","Carex davalliana",14409
"134","Carex diandra",1580
"135","Carex dioica",1010
"136","Carex distans",2103
"137","Carex elongata",4794
"138","Carex ericetorum",1664
"139","Carex frigida",91
"140","Carex fuliginosa",79
"141","Carex heleonastes",325
"142","Carex hostiana",8431
"143","Carex lasiocarpa",3550
"144","Carex limosa",2485
"145","Carex michelii",6
"146","Carex microglochin",22
"147","Carex otrubae",1475
"148","Carex parviflora",392
"149","Carex pauciflora",1422
"150","Carex pseudocyperus",2051
"151","Carex pulicaris",4960
"152","Carex riparia",3836
"153","Carex rupestris",2
"154","Carex strigosa",107
"155","Carex supina",28
"156","Carex tomentosa",4947
"157","Carex vulpina",1879
"158","Carpesium cernuum",9
"159","Catabrosa aquatica",453
"160","Centaurea pseudophrygia",3440
"161","Centaurea stenolepis",216
"162","Cephalanthera longifolia",3809
"163","Cephalanthera rubra",5485
"164","Cerastium glutinosum",2492
"165","Cerastium latifolium",123
"166","Cerastium pumilum",748
"167","Cerastium uniflorum",109
"168","Ceratophyllum submersum",187
"169","Chaerophyllum aromaticum",62
"170","Chamaecytisus ratisbonensis",2013
"171","Chamaecytisus supinus",985
"172","Chenopodium vulvaria",547
"173","Chimaphila umbellata",466
"174","Chondrilla chondrilloides",204
"175","Chondrilla juncea",966
"176","Chrysanthemum segetum",9
"177","Chrysosplenium oppositifolium",2997
"178","Cicendia filiformis",25
"179","Cicuta virosa",1408
"180","Cirsium heterophyllum",3358
"181","Cirsium tuberosum",3908
"182","Cladium mariscus",1597
