"","species","seed_number","mean_dist_m","max_dist_m","growth_rate_mm","wetmass_g","mortality","drymass_g"
"1","Achillea millefolium",2473.01666666667,1,5,0.34,5.0266,-0.00391397129310374,1.49889309684158
"2","Achillea ptarmica",825.166666666667,1,5,1,NA,NA,4.01985666666667
"3","Androsace septentrionalis",49,0.1,1,0.2,NA,NA,0.01
"4","Arabidopsis thaliana",1042.05714285714,0.1,1,0.7,NA,NA,0.0486833333333333
"5","Arabis hirsuta",750,1,5,0.25,NA,NA,0.373
"6","Arenaria serpyllifolia",990.2,0.1,1,0.4,NA,NA,0.025
"7","Artemisia campestris",24768,1,5,0.49,NA,NA,1.999
"8","Artemisia vulgaris",358333.333333333,2,15,0.5,NA,NA,10.161
"9","Asperula tinctoria",99,1,5,0.3,NA,NA,0.105
"10","Berteroa incana",17008.875,1,5,1,3.8032,-0.0080189804904107,NA
"11","Betula nana",2631.36666666667,400,1500,0.3,NA,NA,10.4675
"12","Bidens frondosa",12685,1,5,2.5,NA,NA,0.76145
"13","Cakile maritima",8025,0.1,1,1.6,NA,NA,4.25344285714286
"14","Calystegia sepium",500,1,5,0.3,NA,NA,0.421953333333333
"15","Campanula rotundifolia",175.725,0.1,1,0.325,0.275,-0.705606008285673,0.387
"16","Cannabis sativa",996,1,5,2,NA,NA,0.9496375
"17","Cardamine pratensis",170.25,0.1,1,0.4,NA,NA,0.264035
"18","Centaurea diffusa",56,2,15,1.5,10.4,-5.4774205922939e-07,NA
"19","Centaurea jacea",1425,2,15,0.7,1.5,-0.126203057393322,0.338655525915493
"20","Centaurea solstitialis",1538,1,5,2.5,0.94175,-0.425808309974984,33.6733333333333
"21","Cerastium arvense",400,0.1,1,0.1,NA,NA,0.296855
"22","Cerastium glomeratum",4725,0.1,1,0.4,NA,NA,1.6656
"23","Cichorium intybus",6600.66666666667,10,500,1,NA,NA,2.33209045454545
"24","Circaea lutetiana",55.5,400,1500,0.3,NA,NA,26.03655
"25","Cirsium arvense",13059,10,500,0.425,NA,NA,9.49661
"26","Cirsium palustre",4136.68571428571,10,500,1,NA,NA,0.44043
"27","Cirsium vulgare",4092.91666666667,10,500,1.5,NA,NA,0.538698
"28","Convolvulus arvensis",1205.35714285714,1,5,0.8,NA,NA,14.1381357142857
"29","Cornus sanguinea",2900,400,1500,0.4,NA,NA,11051.9048133333
"30","Crepis capillaris",8000,10,500,2.2,NA,NA,6.01966666666667
"31","Crepis tectorum",6437.2,10,500,0.5,NA,NA,0.061
"32","Datura stramonium",6339,1,5,5,NA,NA,2.28944357142857
"33","Daucus carota",18097.1428571429,1,5,1.75,NA,NA,0.3973
"34","Dianthus deltoides",88,0.1,1,1.5,NA,NA,0.387
"35","Digitalis purpurea",85551,1,5,1.5,NA,NA,0.484331578947368
"36","Draba aizoides",56.5,0.1,1,0.05,NA,NA,0.0375181506707946
"37","Echium vulgare",2133.33333333333,1,5,2.5,NA,NA,0.67768
"38","Empetrum nigrum",149.35,400,1500,0.09,0.208733333333333,-0.749521913562669,0.00173
"39","Erysimum cheiranthoides",9067.91666666667,1,5,0.8,NA,NA,1.75269985714286
"40","Eupatorium cannabinum",574,2,15,1.7,NA,NA,9.54537375
"41","Euphorbia esula",55,2,15,1.225,6.1685,-0.00153013255921198,8.23
"42","Filipendula ulmaria",7282.77777777778,10,500,0.3,NA,NA,0.135145
"43","Filipendula vulgaris",324.433333333333,10,500,0.5,NA,NA,0.84
"44","Frangula alnus",450,400,1500,0.8,NA,NA,1303.63445375
"45","Fraxinus excelsior",50000,40,150,1.2,NA,NA,88.7490728571429
"46","Galeopsis tetrahit",1743,1,5,2.5,NA,NA,0.128567
"47","Galinsoga parviflora",103150.111111111,1,5,1.4,NA,NA,0.71877125
"48","Galium boreale",86.1666666666667,1,5,0.2,NA,NA,0.487
"49","Galium mollugo",10867,1,5,0.18,NA,NA,0.317682160653846
"50","Galium palustre",148.15,1,5,0.2,NA,NA,0.16233
"51","Galium verum",58.35,1,5,0.26,NA,NA,0.127459700328767
"52","Geranium molle",90.5,0.1,1,1,NA,NA,1.80253625
"53","Geum rivale",283.844444444444,10,500,0.12,NA,NA,0.5676425
"54","Geum urbanum",248.25,400,1500,1,NA,NA,7.93163826086957
"55","Hypericum perforatum",20933.6,1,5,0.17,NA,NA,0.11086625
"56","Impatiens parviflora",2306.6,1,5,1.5,NA,NA,0.838702258064516
"57","Isatis tinctoria",15592.25,1,5,1,0.55265,-0.526768644870279,NA
"58","Lapsana communis",1125,2,15,2.65,NA,NA,11.50525
"59","Lathyrus vernus",15.58,0.1,1,0.65,0.231,-0.725979139951947,NA
"60","Leontodon hispidus",68.5,10,500,0.07,NA,NA,0.347715
"61","Leucanthemum vulgare",3573.79,1,5,0.4,NA,NA,0.345694666666667
"62","Linum catharticum",81.3545454545455,0.1,1,0.2,NA,NA,0.008
"63","Lotus corniculatus",6328.66666666667,1,5,0.6,NA,NA,4.66354319148936
"64","Lysimachia vulgaris",868.22,1,5,1,NA,NA,0.14318
"65","Medicago lupulina",2103.125,0.1,1,2.5,0.0318,-0.956873422962767,3.2531725
"66","Medicago minima",89.25,0.1,1,1,NA,NA,2.46466666666667
"67","Medicago polymorpha",15,0.1,1,1,NA,NA,0.216
"68","Mercurialis perennis",105.833333333333,2,15,0.2,NA,NA,6.280485
"69","Myosotis laxa",267.5,1,5,0.5,NA,NA,0.63843
"70","Oenothera biennis",46550.2,1,5,1,NA,NA,1.20076677419355
"71","Ononis spinosa",300,1,5,2.465,0.0173,-0.976302411759932,NA
"72","Papaver dubium",38243.5714285714,1,5,1.2,6.5,-0.0001220703125,0.933333333333333
"73","Phaseolus vulgaris",17,1,5,1,NA,NA,1.76650068965517
"74","Plantago lanceolata",2714.16666666667,0.1,1,0.5,5.7421,-0.0100496973612621,3.59576615746584
"75","Plantago major",13835.375,0.1,1,0.525,NA,NA,0.929462625
"76","Polygonum aviculare",2104.16666666667,1,5,0.2,NA,NA,0.23225
"77","Populus nigra",203918.4,10,500,5,NA,NA,356.916716666667
"78","Potentilla argentea",10931.6666666667,2,15,0.6,NA,NA,0.484
"79","Potentilla recta",1650,2,15,0.5,NA,NA,0.11476
"80","Prunus padus",8000,400,1500,1.5,NA,NA,18474.8624918182
"81","Ranunculus repens",115.01,0.1,1,0.5,NA,NA,1.61820111111111
"82","Rhodiola rosea",440,2,15,0.25,NA,NA,2.6917
"83","Rubus idaeus",590.175,400,1500,0.8,NA,NA,2.16704333333333
"84","Rumex acetosa",537.133333333333,1,5,1,NA,NA,0.998944082432432
"85","Rumex acetosella",2666.8,0.1,1,0.4,NA,NA,3.22134909090909
"86","Rumex crispus",12122.5555555556,1,5,3.5,NA,NA,0.434802857142857
"87","Rumex longifolius",7151.75,1,5,1,NA,NA,1.648125
"88","Rumex obtusifolius",17735.7142857143,1,5,0.45,0.213466666666667,-0.752535028826188,5.0369675
"89","Rumex thyrsiflorus",1385,1,5,2.4,NA,NA,0.4958
"90","Sagina nodosa",140,0.1,1,0.15,NA,NA,0.177
"91","Salix alba",148288,10,500,1.2,NA,NA,0.63535
"92","Salix aurita",2039099,10,500,2,NA,NA,703.3945975
"93","Salix caprea",8903450.5,10,500,4,NA,NA,20845.55446
"94","Salix reticulata",3060,10,500,0.1,16.95,-5.36723344119747e-10,NA
"95","Salix viminalis",12410000,10,500,8,NA,NA,1.15245
"96","Salvia pratensis",3352.5,1,5,1,NA,NA,0.1958
"97","Saxifraga oppositifolia",575,0.1,1,0.425,NA,NA,0.0606288095238096
"98","Scrophularia nodosa",10780.8888888889,1,5,1.2,NA,NA,0.31782875
"99","Senecio vulgaris",8741.16666666667,10,500,3,6.8,-8.05363715071347e-05,5.78322222222222
"100","Sibbaldia procumbens",64,0.1,1,0.2,NA,NA,2.9668
"101","Silene dioica",3892.92,1,5,0.6,NA,NA,0.194066666666667
