"","species","seed_number","general.method","reproduction.unit.measured","dispersal_class_1-6","mean_dist_m","max_dist_m","growth_method","growth_rate_mm","growth_unit","wetmass_g","Unit","mortality"
"1","Achillea millefolium",695.2,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.3,"mm",3.0638,"g",-0.0143023894166794
"2","Achillea millefolium",695.2,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.3,"mm",6,"g",-0.000244140625
"3","Achillea millefolium",695.2,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.3,"mm",5.9362,"g",-0.000266717480169874
"4","Achillea millefolium",695.2,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.3,"mm",5.1064,"g",-0.000842637650565701
"5","Achillea millefolium",695.2,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.38,"mm",3.0638,"g",-0.0143023894166794
"6","Achillea millefolium",695.2,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.38,"mm",6,"g",-0.000244140625
"7","Achillea millefolium",695.2,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.38,"mm",5.9362,"g",-0.000266717480169874
"8","Achillea millefolium",695.2,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.38,"mm",5.1064,"g",-0.000842637650565701
"9","Achillea millefolium",1047,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.3,"mm",3.0638,"g",-0.0143023894166794
"10","Achillea millefolium",1047,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.3,"mm",6,"g",-0.000244140625
"11","Achillea millefolium",1047,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.3,"mm",5.9362,"g",-0.000266717480169874
"12","Achillea millefolium",1047,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.3,"mm",5.1064,"g",-0.000842637650565701
"13","Achillea millefolium",2400,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.38,"mm",3.0638,"g",-0.0143023894166794
"14","Achillea millefolium",2400,"actual measurement","per ramet/tussock or individual plant ",2,1,5,"ann. rad. gr",0.38,"mm",6,"g",-0.000244140625
