species,species_same_genus,germination_perc,germination_unit
Solidago canadensis,Solidago delicatula,100,%
Solidago canadensis,Solidago missouriensis,78,%
Solidago canadensis,Solidago mollis,84.33,%
Solidago canadensis,Solidago multiradiata var. multiradiata,88,%
Solidago canadensis,Solidago nemoralis,94.25,%
Solidago canadensis,Solidago ptarmicoides,73,%
Solidago canadensis,Solidago simplex,100,%
Solidago canadensis,Solidago sp,36.96,%
Solidago canadensis,Solidago spathulata subsp. spathulata,75,%
Solidago canadensis,Solidago speciosa,72.5,%
Solidago canadensis,Solidago velutina,88.33,%
Solidago canadensis,Solidago virgaurea,95,%
Eriophorum vaginatum,Eriophorum angustifolium,91,%
Eriophorum vaginatum,Eriophorum comosum,90,%
Eriophorum vaginatum,Eriophorum gracile,71,%
