"Argument" "Value"
"species_name" "centaurea_diffusa"
"seed_number_mean" "56"
"mean_dist_m_mean" "2"
"max_dist_m_mean" "15"
"growth_rate_mm_mean" "1.5"
"wetmass_g_mean" "10.4"
"mortality_mean" "-5.4774205922939e-07"
"density_sqMeter_mean" "500"
"seed_number_std" "0"
"mean_dist_m_std" "0"
"max_dist_m_std" "0"
"growth_rate_mm_std" "0"
"wetmass_g_std" "0"
"mortality_std" "0"
"density_sqMeter_std" "0"
"upper_limit_temperature" "19.15"
"upper_limit_precipitation" "2765.7"
"lower_limit_temperature" "1.45000000000005"
"lower_limit_precipitation" "162.9"
"sd_temperature" "2.4454648475998"
"sd_precipitation" "232.095742399328"
"optimum_temperature" "10.7500000000001"
"optimum_precipitation" "435.3"
"mean_temperature" "9.46817634063068"
"mean_precipitation" "523.921912030528"
"species" "centaurea_diffusa"
