"Argument" "Value"
"species_name" "galium_mollugo"
"seed_number_mean" "10867"
"mean_dist_m_mean" "1"
"max_dist_m_mean" "5"
"growth_rate_mm_mean" "0.18"
"wetmass_g_mean" "1.0850987804878"
"mortality_mean" "-0.481058122572737"
"density_sqMeter_mean" "17"
"seed_number_std" "9160.97250041578"
"mean_dist_m_std" "0"
"max_dist_m_std" "0"
"growth_rate_mm_std" "0"
"wetmass_g_std" "3.55530800693418"
"mortality_std" "0.25774529326629"
"density_sqMeter_std" "0"
"upper_limit_temperature" "18.65"
"upper_limit_precipitation" "4706.5"
"lower_limit_temperature" "-8.74999999999994"
"lower_limit_precipitation" "242.9"
"sd_temperature" "2.42615853257736"
"sd_precipitation" "277.6059192526"
"optimum_temperature" "10.35"
"optimum_precipitation" "510.2"
"mean_temperature" "9.59305988244807"
"mean_precipitation" "928.343956432007"
