"Argument" "Value"
"species_name" "solanum_nigrum"
"seed_number_mean" "31723.1666666667"
"mean_dist_m_mean" "400"
"max_dist_m_mean" "1500"
"growth_rate_mm_mean" "2"
"wetmass_g_mean" "14.2"
"mortality_mean" "-2.8232421102196e-09"
"density_sqMeter_mean" "11"
"seed_number_std" "46095.1955465712"
"mean_dist_m_std" "0"
"max_dist_m_std" "0"
"growth_rate_mm_std" "0"
"wetmass_g_std" "0"
"mortality_std" "0"
"density_sqMeter_std" "0"
"upper_limit_temperature" "29.45"
"upper_limit_precipitation" "6553.5"
"lower_limit_temperature" "-12.15"
"lower_limit_precipitation" "0.9"
"sd_temperature" "2.67988086033864"
"sd_precipitation" "243.712175566071"
"optimum_temperature" "10.55"
"optimum_precipitation" "859.4"
"mean_temperature" "11.2095203296108"
"mean_precipitation" "834.17455101377"
