"species","scenario","t","abundance_mean","abundance_sd","reproduction_mean","reproduction_sd","carry_mean","carry_sd","habitat_mean","habitat_sd","bevmort_mean","bevmort_sd"
"A","clim_SSP1",1,352893.256,370392.433,2.949,0.387,855635.253,36310.351,2.756,0.258,1.128,0.093
"A","clim_SSP1",2,759894.723,63530.738,2.948,0.383,855587.624,36276.326,2.756,0.258,1.128,0.093
"A","clim_SSP1",3,779829.739,59035.667,2.973,0.389,855715.628,36292.953,2.756,0.258,1.128,0.093
"A","clim_SSP1",4,795825.728,55235.475,2.953,0.399,855702.05,36350.995,2.756,0.258,1.128,0.093
"A","clim_SSP1",5,808494.741,52230.014,2.944,0.385,855562.308,36254.262,2.756,0.258,1.128,0.093
"A","clim_SSP1",6,818442.188,49591.083,2.947,0.389,855593.6,36375.699,2.756,0.258,1.128,0.093
"A","clim_SSP1",7,826322.227,47542.769,2.966,0.391,855707.359,36277.542,2.756,0.258,1.128,0.093
"A","clim_SSP1",8,832554.384,45724.334,2.941,0.387,855722.989,36384.495,2.756,0.258,1.128,0.093
"A","clim_SSP1",9,837466.936,44251.861,2.94,0.39,855603.416,36324.608,2.756,0.258,1.128,0.093
"A","clim_SSP1",10,841263.559,43109.151,2.941,0.382,855680.102,36273.804,2.756,0.258,1.128,0.093
"A","clim_SSP1",11,844340.478,41997.646,3.4,0.412,779751.447,54301.83,2.871,0.229,1.293,0.103
"A","clim_SSP1",12,825562.3,41166.621,3.378,0.409,779860.44,54322.902,2.871,0.229,1.293,0.103
"A","clim_SSP1",13,812478.458,42731.585,3.391,0.408,779736.246,54249.248,2.871,0.229,1.293,0.103
"A","clim_SSP1",14,803107.321,44763.699,3.372,0.393,779645.322,54291.543,2.871,0.229,1.293,0.103
"A","clim_SSP1",15,796447.758,46726.747,3.384,0.405,779804.264,54363.746,2.871,0.229,1.293,0.103
"A","clim_SSP1",16,791706.511,48375.809,3.39,0.397,779752.451,54406.417,2.871,0.229,1.293,0.103
"A","clim_SSP1",17,788291.229,49750.563,3.386,0.403,779769.932,54332.281,2.871,0.229,1.293,0.103
"A","clim_SSP1",18,785883.034,50806.791,3.388,0.401,779895.768,54174.45,2.871,0.229,1.293,0.103
"A","clim_SSP1",19,784122.686,51593.922,3.384,0.411,779757.561,54453.221,2.871,0.229,1.293,0.103
"A","clim_SSP1",20,782846.023,52260.83,3.379,0.406,779778.834,54312.242,2.871,0.229,1.293,0.103
"A","clim_SSP1",21,781960.056,52715.617,3.763,0.419,689621.01,64239.895,2.812,0.184,1.437,0.111
"A","clim_SSP1",22,752598.445,56062.646,3.744,0.413,689641.083,64276.702,2.812,0.184,1.437,0.111
"A","clim_SSP1",23,732967.173,58882.31,3.76,0.419,689607.27,64223.514,2.812,0.184,1.437,0.111
"A","clim_SSP1",24,719591.378,60852.399,3.75,0.419,689457.99,64181.65,2.812,0.184,1.437,0.111
"A","clim_SSP1",25,710342.15,62187.063,3.755,0.423,689485.025,64215.925,2.812,0.184,1.437,0.111
"A","clim_SSP1",26,704007.371,62989.083,3.76,0.423,689488.901,64334.029,2.812,0.184,1.437,0.111
"A","clim_SSP1",27,699621.964,63485.53,3.77,0.418,689699.267,64207.91,2.812,0.184,1.437,0.111
"A","clim_SSP1",28,696606.866,63786.098,3.755,0.416,689581.456,64257.405,2.812,0.184,1.437,0.111
"A","clim_SSP1",29,694462.038,64016.859,3.768,0.429,689573.854,64221.154,2.812,0.184,1.437,0.111
